奢,ㄕ,ㄜ,168
篩,ㄕ,ㄞ,169
燒,ㄕ,ㄠ,170
收,ㄕ,ㄡ,171
山,ㄕ,ㄢ,172
深,ㄕ,ㄣ,173
商,ㄕ,ㄤ,174
生,ㄕ,ㄥ,175
入,ㄖ,ㄨ,176
熱,ㄖ,ㄜ,177
擾,ㄖ,ㄠ,178
然,ㄖ,ㄢ,179
人,ㄖ,ㄣ,180
壤,ㄖ,ㄤ,181
仍,ㄖ,ㄥ,182
租,ㄗ,ㄨ,183
紮,ㄗ,ㄚ,184
災,ㄗ,ㄞ,185
賊,ㄗ,ㄟ,186
遭,ㄗ,ㄠ,187
鄒,ㄗ,ㄡ,188
簪,ㄗ,ㄢ,189
怎,ㄗ,ㄣ,190
髒,ㄗ,ㄤ,191
曾,ㄗ,ㄥ,192
擦,ㄘ,ㄚ,193
測,ㄘ,ㄜ,194
猜,ㄘ,ㄞ,195
操,ㄘ,ㄠ,196
湊,ㄘ,ㄡ,197
餐,ㄘ,ㄢ,198
參,ㄘ,ㄣ,199
倉,ㄘ,ㄤ,200
噌,ㄘ,ㄥ,201
蘇,ㄙ,ㄨ,202
撒,ㄙ,ㄚ,203
色,ㄙ,ㄜ,204
賽,ㄙ,ㄞ,205
艘,ㄙ,ㄠ,206
搜,ㄙ,ㄡ,207
三,ㄙ,ㄢ,208
森,ㄙ,ㄣ,209
桑,ㄙ,ㄤ,210
僧,ㄙ,ㄥ,211
壓,ㄧ,ㄚ,212
唷,ㄧ,ㄛ,213
耶,ㄧ,ㄝ,214
崖,ㄧ,ㄞ,215
邀,ㄧ,ㄠ,216
優,ㄧ,ㄡ,217
菸,ㄧ,ㄢ,218
因,ㄧ,ㄣ,219
央,ㄧ,ㄤ,220
應,ㄧ,ㄥ,221
挖,ㄨ,ㄚ,222
窩,ㄨ,ㄛ,223
歪,ㄨ,ㄞ,224
為,ㄨ,ㄟ,225
灣,ㄨ,ㄢ,226
溫,ㄨ,ㄣ,227
汪,ㄨ,ㄤ,228
翁,ㄨ,ㄥ,229
約,ㄩ,ㄝ,230
淵,ㄩ,ㄢ,231
暈,ㄩ,ㄣ,232
傭,ㄩ,ㄥ,233
